FIRSTNAME,LASTNAME,LOGIN,MAIL,QUESTION,ANSWER,PASSWORD,COSTCENTER,ORGANIZATION
Zachary,Bryan,zachary.bryan,zachary.bryan@vanillasocial.com,What's your favorite color?,orange,Tra!nme4321,mkt-usa,vanillasocial
Brent,Tyson,brent.tyson,brent.tyson@vanillasocial.com,What's your favorite color?,magenta,Tra!nme4321,mkt-usa,vanillasocial
Jescie,Adams,jescie.adams,jescie.adams@vanillasocial.com,What's your favorite color?,magenta,Tra!nme4321,mkt-usa,vanillasocial
Tucker,Knight,tucker.knight,tucker.knight@vanillasocial.com,What's your favorite color?,blue,Tra!nme4321,mkt-usa,vanillasocial
Callie,Nelson,callie.nelson,callie.nelson@vanillasocial.com,What's your favorite color?,orange,Tra!nme4321,mkt-usa,vanillasocial
Branden,Berg,branden.berg,branden.berg@biscuitpublicite.fr,What's your favorite color?,violet,Tra!nme4321,mkt-europe,biscuitpublicite
Charles,Weber,charles.weber,charles.weber@biscuitpublicite.fr,What's your favorite color?,blue,Tra!nme4321,mkt-europe,biscuitpublicite
Otto,Howard,otto.howard,otto.howard@biscuitpublicite.fr,What's your favorite color?,indigo,Tra!nme4321,mkt-europe,biscuitpublicite
Wyoming,Mueller,wyoming.mueller,wyoming.mueller@biscuitpublicite.fr,What's your favorite color?,green,Tra!nme4321,mkt-europe,biscuitpublicite
Kuame,Spears,kuame.spears,kuame.spears@biscuitpublicite.fr,What's your favorite color?,indigo,Tra!nme4321,mkt-europe,biscuitpublicite
