MAIL,TITLE
zachary.bryan@vanillasocial.com,Marketing Account Director
brent.tyson@vanillasocial.com,Marketing Manager
jescie.adams@vanillasocial.com,Marketing Analyst Sr
tucker.knight@vanillasocial.com,Marketing Analyst
callie.nelson@vanillasocial.com,Marketing Analyst Jr
branden.berg@biscuitpublicite.fr,Marketing Account Director
charles.weber@biscuitpublicite.fr,Marketing Manager
otto.howard@biscuitpublicite.fr,Marketing Analyst Sr
wyoming.mueller@biscuitpublicite.fr,Marketing Analyst
kuame.spears@biscuitpublicite.fr,Marketing Analyst Jr
